english,myanmar
PYI,ပြည်
PYIE,ပြည့်
PYONE,ပြုံး
R,အာ
RA,ရ
RACHEL,ရေချယ်
RAJ,ရာ့ဂျ်
RAM,ရမ်
RAMSEY,ရမ်းဆေး
RAR,ရာ
Rastogi,ရက်စတိုဂီ
RAT,ရတ်
RAY,ရေး
REBECCA,ရေဗက္ကာ
REBEKAH,ရေဗက္ကာ
REH,ရချ်
REHMAN,ရမာန်
REIN,ရိန်
RENU,ရီနူး
RET,ရတ်
RHIND,ရိုင်း
RI,ရီ
RICHARD,ရစ်ချက်
RINGO,ရင်ဂို
RIT,ရာဇ်
RO,ရို
ROBINSON,ရော်ဘင်ဆင်
ROI,ရွယ်
RONALD,ရော်နယ်
ROSS,ရော့စ်
ROSSI,ရော့စီ
ROSY,ရိုစီ
ROYAL,ရွိုင်ရယ်
RUBY,ရူဘီ
RUN,ရွန်
RUPA,ရူပ
RUSSELL,ရုစဲလ်
RUTHA,ရုသ
S,အက်စ်
SA,စ
SABAI,စံပါယ်
SABAL,စပယ်
SABRA,ဆာဘရာ
SAGA,ဆဂ
SAI,စိုင်း
SAING,စိုင်း
SALAI,ဆလိုင်း
SALIM,ဆလင်း
SAM,ဆန်း
SAMUEL,ဆင်မြူရယ်
SAN,စန်း
SANAY,စနေ
SANDA,စန္ဒာ
SANDAR,စန္ဒာ
SANDI,စန္ဒီ
SANDRA,ဆန်ဒရာ
SANDY,စန္ဒီ
SANG,စန်း
SANN,စန်း
SAO,စဝ်
SAPAIL,စံပါယ်
SAPAL,စပယ်
SAR,စာ
SARA,ဆာရာ
Satish,ဆတီး
SATT,စက်
SAUNG,ဆောင်း
SAW,စော
SAY,စေး
SAYA,ဆရာ
SAYADAW,ဆရာတော်
SAYAMA,ဆရာမ
SCOTT,စကော့
SECK,ဆက်
SEE,ဆီး
SEIN,စိန်
SEINE,စိမ်း
SEINN,စိမ်း
SEINT,စိမ့်
SEK,ဆက်
SENG,ဆိုင်း
SENT,ဆမ့်
SEPTEMBER,စက်တင်ဘာ
SET,ဆက်
SETT,ဆက်
SHAN,ရှမ်း
SHANE,ရှိန်း
SHAR,ရှား
Sharma,ရှမား
SHARYE,သျှားရီ
SHEE,ရှီး
SHEIN,ရှိန်
SHIN,ရှင်း
SHINE,ရှိုင်း
SHOON,ရွှန်း
SHU,ရှု
Shukla,ရှုကလာ
SHUME,ရွှန်းမီ
SHUN,ရွှန်း
SHWE,ရွှေ
SHWELI,ရွှေလီ
SI,စည်
SIAM,ရှင်း
SIAN,ရှန်း
SIE,စည်
SII,စည်
SILVER,ဆေးဗား
SIMON,ဆိုင်မွန်
SIN,စင်
SING,ရှင်း
SINN,စင်း
SINT,ဆင့်
SIT,စစ်
SITHU,စည်သူ
SITT,စစ်
SLAUGHTER,စလောတာ
SMITH,စမစ်
SNOW,စနိုး
SO,ဆို
SOE,စိုး
SOEE,စိုး
SONE,စုံ
SONG,ဆောင်း
SOPHIE,ဆိုဖီ
SOUL,စိုး
SOUNG,ဆောင်း
STEINER,စတိုင်းနာ
STEL,စတယ်
STEVEN,စတီဗင်
SU,စု
SUAN,ဆွန်း
SUE,ဆူး
SUI,ဆွီး
SUNIL,ဆူနေး
SUNNI,ဆန်နီ
SUNNY,ဆန်နီ
Sureshbhai,ဆူရာ့ချ်ဘိုင်
SUT,ဆွန့်
SUU,စု
SUUM,ဆုန်
SUZAN,စူဇန်
SWA,ဆွာ
SWAM,စွမ်း
SWAN,စွမ်း
SWANN,စွမ်း
SWAR,ဆွာ
SWE,ဆွေ
SWEETY,ဆွိတီ
T,တီ
TA,တ
TAGU,တန်ခူး
TAHUNG,ထောင်
TAMLAR,တမ်လာ
TAN,တန်
TANG,တန်
TAR,တာ
TARYAR,တာရာ
TAT,တက်
TAUN,ထောင်း
TAUNG,တောင်
TAW,တော်
TAWNG,တောင်
TAY,တေ
TAYA,တာရာ
TAYAR,တာရာ
TAYLOR,တေလာ
TAYZA,တေဇ
TAYZAR,တေဇာ
TAYZER,တေဇာ
TE,တီ
TEE,တီး
Tejas,တေးဂျက်စ်
TER,တာ
TEYZA,တေဇ
TEZA,တေဇ
THA,သ
THAE,သဲ
THAGYAN,သင်္ကြန်
THAING,သိုင်း
THAKHIN,သခင်
THAKIN,သခင်
THAL,သဲ
THALA,သလ
THAN,သန်း
THANDA,သန္တာ
THANDAR,သန္တာ
THANDR,သန္တာ
THANG,ထန်
THANN,သန်း
THANT,သန့်
THAPYAY,သပြေ
THAR,သာ
THARA,သရ
THARAPHEE,သရဖီ
THARAPHI,သရဖီ
THARAPHU,သရဖူ
THAUNG,သောင်း
THAW,သော်
THAWDA,သော်တာ
THAWDAR,သော်တာ
THAWNG,ထောင်း
THAYA,သရ
THAYAPHEE,သရဖီ
THAZIN,သဇင်
THE,သဲ
THED,သက်
THEE,သီး
THEIH,ထိပ်
THEIK,သိုက်
THEIN,သိန်း
THEINGI,သိင်္ဂီ
THEINN,သိန်း
THEINT,သိမ့်
THEIPPAN,သိပ္ပံ
THET,သက်
THI,သီ
THIDA,သီတာ
THIDAGU,သီတဂူ
THIDAR,သီတာ
THIHA,သီဟ
THIKE,သိုက်
THIN,သင်း
THINGYAN,သင်္ကြန်
THINN,သင်း
THINT,သင့်
THINZA,သင်ဇာ
THINZAR,သင်ဇာ
THIP,သစ်
THIRI,သီရိ
THIT,သစ်
THITAR,သီတာ
THITSA,သစ္စာ
THITSAR,သစ္စာ
THO,သို
THONE,သုန်
THU,သူ
THUKA,သုခ
THUKHA,သုခ
THUNN,သွန်း
THURA,သူရ
THUREIN,သူရိန်
THUTA,သုတ
THUU,သူ
THUWUN,သုဝဏ်
THUWUNN,သုဝဏ်
THUYA,သူရ
THUZA,သူဇာ
THUZAR,သူဇာ
THWAL,သွယ်
THWAY,သွေး
THWE,သွယ်
THWET,သွယ့်
THWIN,သွင်
TI,တီ
TIKE,တိုက်
TIMOTHY,တင်မိုသီ
TIN,တင်
TINT,တင့်
TIP,တစ်ပ်
TOE,တိုး
TOM,တွမ်
TONE,တုန်း
TONY,တိုနီ
TOO,တူး
TOTTY,တော်တီ
TSIN,စင်
TU,တူး
TUN,ထွန်း
TUNN,ထွန်း
TUU,တူး
TWE,တွယ်
TYNE,တိုင်းန်
U,ဦး
U.,ဦး
VAN,ဗန်
VUI,ဗွီး
VUNG,ဗုန်
WA,ဝ
WADDY,ဝတီ
WAH,ဝါ
WAI,ဝေ
WAING,ဝိုင်း
WAIT,ဝိတ်
